oln_id_a	oln_id_b	edge_typ
YBR083W	YOR077W	transcription_factor->target_gene
YBR083W	YOR225W	transcription_factor->target_gene
YBR083W	YOR247W	transcription_factor->target_gene
YBR083W	YOR248W	transcription_factor->target_gene
YBR083W	YPL114W	transcription_factor->target_gene
YBR083W	YPR158W-A	transcription_factor->target_gene
YBR112C	YAL061W	transcription_factor->target_gene
YBR112C	YBR067C	transcription_factor->target_gene
YBR112C	YBR072W	transcription_factor->target_gene
YBR083W	YBL002W	transcription_factor->target_gene
YBR049C	YPL168W	transcription_factor->target_gene
YCR018C	YBR167C	transcription_factor->target_gene
YDR146C	YBR196C	transcription_factor->target_gene
YDR207C	YJL051W	transcription_factor->target_gene
YDR253C	YNL144C	transcription_factor->target_gene
YDR259C	YDL037C	transcription_factor->target_gene
YDR310C	YBR179C	transcription_factor->target_gene
YDR421W	YDR375C	transcription_factor->target_gene
YDR392W	YLR216C	transcription_factor->target_gene
YER169W	YBR033W	transcription_factor->target_gene
YGL013C	YDL082W	transcription_factor->target_gene
YGL073W	YNL006W	transcription_factor->target_gene
YGR044C	YFL034W	transcription_factor->target_gene
YHR084W	YCL026C-A	transcription_factor->target_gene
YKL112W	YKL007W	transcription_factor->target_gene
YKL112W	YNR037C	transcription_factor->target_gene
YLR131C	YDR154C	transcription_factor->target_gene
YLR182W	YIL123W	transcription_factor->target_gene
YLR182W	YJL185C	transcription_factor->target_gene
YLR451W	YNL103W	transcription_factor->target_gene
YML007W	YJR048W	transcription_factor->target_gene
YMR021C	YNL017C	transcription_factor->target_gene
YNL068C	YNL172W	transcription_factor->target_gene
YNL103W	YJL100W	transcription_factor->target_gene
YNL216W	YDL076C	transcription_factor->target_gene
YNL216W	YJL189W	transcription_factor->target_gene
YOR028C	YOR302W	transcription_factor->target_gene
YPL038W	YPR167C	transcription_factor->target_gene
YPL089C	YBR057C	transcription_factor->target_gene
YPL248C	YDR009W	transcription_factor->target_gene
YPL248C	YGR268C	transcription_factor->target_gene
YBL103C	YLR266C	transcription_factor->target_gene
YBL103C	YLR304C	transcription_factor->target_gene
YBL103C	YNL037C	transcription_factor->target_gene
YBL103C	YNL248C	transcription_factor->target_gene
YBL103C	YOR136W	transcription_factor->target_gene
YBL103C	YPL124W	transcription_factor->target_gene
YBR049C	YAL003W	transcription_factor->target_gene
YBR049C	YAL018C	transcription_factor->target_gene
YBR049C	YAL025C	transcription_factor->target_gene
YBR049C	YAL029C	transcription_factor->target_gene
YBR049C	YAL030W	transcription_factor->target_gene
YBR049C	YAL031C	transcription_factor->target_gene
YBR049C	YOR197W	transcription_factor->target_gene
YBR112C	YBR085C-A	transcription_factor->target_gene
YBR112C	YBR105C	transcription_factor->target_gene
YBR112C	YDL079C	transcription_factor->target_gene
YBR112C	YDL085W	transcription_factor->target_gene
YBR112C	YDR043C	transcription_factor->target_gene
YBR112C	YDR085C	transcription_factor->target_gene
YBR112C	YDR516C	transcription_factor->target_gene
YBR112C	YEL011W	transcription_factor->target_gene
YBR112C	YER062C	transcription_factor->target_gene
YBR049C	YOR319W	transcription_factor->target_gene
YBL008W	YDR225W	transcription_factor->target_gene
YBL008W	YDR523C	transcription_factor->target_gene
YBL008W	YEL001C	transcription_factor->target_gene
YBL008W	YEL022W	transcription_factor->target_gene
YBL008W	YEL023C	transcription_factor->target_gene
YBL008W	YFR001W	transcription_factor->target_gene
YBL008W	YLR002C	transcription_factor->target_gene
YBL008W	YLR061W	transcription_factor->target_gene
YBL008W	YNL030W	transcription_factor->target_gene
YBL008W	YNL031C	transcription_factor->target_gene
YBL008W	YOL144W	transcription_factor->target_gene
YBL008W	YOL145C	transcription_factor->target_gene
YBL008W	YPL018W	transcription_factor->target_gene
YBL008W	YPL019C	transcription_factor->target_gene
YBL008W	YPL249C-A	transcription_factor->target_gene
YBL008W	YPL251W	transcription_factor->target_gene
YBL008W	YPL253C	transcription_factor->target_gene
YBL021C	YBR039W	transcription_factor->target_gene
YBL021C	YCR028C	transcription_factor->target_gene
YBL021C	YDR030C	transcription_factor->target_gene
YBL021C	YDR031W	transcription_factor->target_gene
YBL021C	YDR372C	transcription_factor->target_gene
YBL021C	YDR373W	transcription_factor->target_gene
YBL021C	YER174C	transcription_factor->target_gene
YBR049C	YBR003W	transcription_factor->target_gene
YBR049C	YBR017C	transcription_factor->target_gene
YBR049C	YBR034C	transcription_factor->target_gene
YBR049C	YBR036C	transcription_factor->target_gene
YBR049C	YBR065C	transcription_factor->target_gene
YBR049C	YBR077C	transcription_factor->target_gene
YBR049C	YBR082C	transcription_factor->target_gene
YBR049C	YBR091C	transcription_factor->target_gene
YBR049C	YBR092C	transcription_factor->target_gene
YBR049C	YBR095C	transcription_factor->target_gene
YBR049C	YBR096W	transcription_factor->target_gene
YBR049C	YBR130C	transcription_factor->target_gene
YBR049C	YBR131W	transcription_factor->target_gene
YBR049C	YBR143C	transcription_factor->target_gene
YBR049C	YBR163W	transcription_factor->target_gene
YBR049C	YBR164C	transcription_factor->target_gene
YBR049C	YBR165W	transcription_factor->target_gene
YBR049C	YBR170C	transcription_factor->target_gene
YBR049C	YBR171W	transcription_factor->target_gene
YBR049C	YBR229C	transcription_factor->target_gene
YBR049C	YBR234C	transcription_factor->target_gene
YBR049C	YBR236C	transcription_factor->target_gene
YBR049C	YBR237W	transcription_factor->target_gene
YBR049C	YBR253W	transcription_factor->target_gene
YBR049C	YCL054W	transcription_factor->target_gene
YBR049C	YCR004C	transcription_factor->target_gene
YBR049C	YCR011C	transcription_factor->target_gene
YBR049C	YCR012W	transcription_factor->target_gene
YBR049C	YCR032W	transcription_factor->target_gene
YBR049C	YCR068W	transcription_factor->target_gene
YBR049C	YCR095C	transcription_factor->target_gene
YBR049C	YDL005C	transcription_factor->target_gene
YBR049C	YDL007W	transcription_factor->target_gene
YBR049C	YDL025C	transcription_factor->target_gene
YBR049C	YDL031W	transcription_factor->target_gene
YBR049C	YDL047W	transcription_factor->target_gene
YBR049C	YDL070W	transcription_factor->target_gene
YBR049C	YDL097C	transcription_factor->target_gene
YBR049C	YDL112W	transcription_factor->target_gene
YBR049C	YDL125C	transcription_factor->target_gene
YBR049C	YDL155W	transcription_factor->target_gene
YBR049C	YDL186W	transcription_factor->target_gene
YBR049C	YDL188C	transcription_factor->target_gene
YBR049C	YDL208W	transcription_factor->target_gene
YBR049C	YDL209C	transcription_factor->target_gene
YBR049C	YDL212W	transcription_factor->target_gene
YBR049C	YDL213C	transcription_factor->target_gene
YBR049C	YDL225W	transcription_factor->target_gene
YBR049C	YDL226C	transcription_factor->target_gene
YBR049C	YDR003W	transcription_factor->target_gene
YBR049C	YDR032C	transcription_factor->target_gene
YBR049C	YDR036C	transcription_factor->target_gene
YBR049C	YDR050C	transcription_factor->target_gene
YBR049C	YDR060W	transcription_factor->target_gene
YBR049C	YDR073W	transcription_factor->target_gene
YBR049C	YDR091C	transcription_factor->target_gene
YBR049C	YDR143C	transcription_factor->target_gene
YBR049C	YDR147W	transcription_factor->target_gene
YBR049C	YDR151C	transcription_factor->target_gene
YBR049C	YDR152W	transcription_factor->target_gene
YBR049C	YDR155C	transcription_factor->target_gene
YBR049C	YDR156W	transcription_factor->target_gene
YBR049C	YDR157W	transcription_factor->target_gene
YBR049C	YDR158W	transcription_factor->target_gene
YBR049C	YDR170W-A	transcription_factor->target_gene
YBR049C	YDR173C	transcription_factor->target_gene
YBR049C	YDR174W	transcription_factor->target_gene
YBR049C	YDR214W	transcription_factor->target_gene
YBR049C	YDR221W	transcription_factor->target_gene
YBR049C	YDR231C	transcription_factor->target_gene
YBR049C	YDR238C	transcription_factor->target_gene
YBR049C	YDR257C	transcription_factor->target_gene
YBR049C	YDR264C	transcription_factor->target_gene
YBR049C	YDR265W	transcription_factor->target_gene
YBR049C	YDR303C	transcription_factor->target_gene
YBR049C	YDR306C	transcription_factor->target_gene
YBR049C	YDR313C	transcription_factor->target_gene
YBR049C	YDR323C	transcription_factor->target_gene
YBR049C	YDR328C	transcription_factor->target_gene
YBR049C	YDR333C	transcription_factor->target_gene
YBR049C	YDR334W	transcription_factor->target_gene
YBR049C	YDR411C	transcription_factor->target_gene
YBR049C	YDR427W	transcription_factor->target_gene
YBR049C	YDR451C	transcription_factor->target_gene
YBR049C	YDR452W	transcription_factor->target_gene
YBR049C	YDR453C	transcription_factor->target_gene
YBR049C	YDR457W	transcription_factor->target_gene
YBR049C	YDR465C	transcription_factor->target_gene
YBR049C	YDR466W	transcription_factor->target_gene
YBR049C	YDR477W	transcription_factor->target_gene
YBR049C	YDR480W	transcription_factor->target_gene
YBR049C	YDR519W	transcription_factor->target_gene
YBR049C	YDR520C	transcription_factor->target_gene
YBR049C	YDR525W-A	transcription_factor->target_gene
YBR049C	YEL012W	transcription_factor->target_gene
YBR049C	YEL026W	transcription_factor->target_gene
YBR049C	YEL038W	transcription_factor->target_gene
YBR049C	YEL051W	transcription_factor->target_gene
YBR049C	YEL055C	transcription_factor->target_gene
YBR049C	YEL064C	transcription_factor->target_gene
YBR049C	YER013W	transcription_factor->target_gene
YBR049C	YER019C-A	transcription_factor->target_gene
YBR049C	YER020W	transcription_factor->target_gene
YBR049C	YER021W	transcription_factor->target_gene
YBR049C	YER025W	transcription_factor->target_gene
YBR049C	YER050C	transcription_factor->target_gene
YBR049C	YER051W	transcription_factor->target_gene
YBR049C	YER063W	transcription_factor->target_gene
YBR049C	YER070W	transcription_factor->target_gene
YBR049C	YER083C	transcription_factor->target_gene
YBR049C	YER085C	transcription_factor->target_gene
YBR049C	YER091C	transcription_factor->target_gene
YBR049C	YER094C	transcription_factor->target_gene
YBR049C	YER095W	transcription_factor->target_gene
YBR049C	YER105C	transcription_factor->target_gene
YBR049C	YER111C	transcription_factor->target_gene
YBR049C	YER136W	transcription_factor->target_gene
YBR049C	YER146W	transcription_factor->target_gene
YBR049C	YER150W	transcription_factor->target_gene
YBR049C	YER156C	transcription_factor->target_gene
YBR049C	YER157W	transcription_factor->target_gene
YBR049C	YER163C	transcription_factor->target_gene
YBR049C	YER176W	transcription_factor->target_gene
YBR049C	YFL005W	transcription_factor->target_gene
YBR049C	YFL013C	transcription_factor->target_gene
YBR049C	YFL016C	transcription_factor->target_gene
YBR049C	YFL022C	transcription_factor->target_gene
YBR049C	YFL023W	transcription_factor->target_gene
YBR049C	YFL024C	transcription_factor->target_gene
YBR049C	YFL026W	transcription_factor->target_gene
YBR049C	YFL039C	transcription_factor->target_gene
YBR049C	YFR051C	transcription_factor->target_gene
YBR049C	YFR052W	transcription_factor->target_gene
YBR049C	YGL043W	transcription_factor->target_gene
YBR049C	YGL044C	transcription_factor->target_gene
YBR049C	YGL068W	transcription_factor->target_gene
YBR049C	YGL086W	transcription_factor->target_gene
YBR049C	YGL087C	transcription_factor->target_gene
YBR049C	YGL088W	transcription_factor->target_gene
YBR049C	YGL089C	transcription_factor->target_gene
YBR049C	YGL097W	transcription_factor->target_gene
YBR049C	YGL106W	transcription_factor->target_gene
YBR049C	YGL119W	transcription_factor->target_gene
YBR049C	YGL120C	transcription_factor->target_gene
YBR049C	YGL137W	transcription_factor->target_gene
YBR049C	YGL138C	transcription_factor->target_gene
YBR049C	YGL140C	transcription_factor->target_gene
YBR049C	YGL151W	transcription_factor->target_gene
YBR049C	YGL152C	transcription_factor->target_gene
YBR049C	YGL166W	transcription_factor->target_gene
YBR049C	YGL181W	transcription_factor->target_gene
YBR049C	YGL182C	transcription_factor->target_gene
YBR049C	YGL198W	transcription_factor->target_gene
YBR049C	YGL225W	transcription_factor->target_gene
YBR049C	YGL237C	transcription_factor->target_gene
YBR049C	YGL238W	transcription_factor->target_gene
YBR049C	YGR002C	transcription_factor->target_gene
YBR049C	YGR003W	transcription_factor->target_gene
YBR049C	YGR009C	transcription_factor->target_gene
YBR049C	YGR024C	transcription_factor->target_gene
YBR049C	YGR026W	transcription_factor->target_gene
YBR049C	YGR037C	transcription_factor->target_gene
YBR049C	YGR043C	transcription_factor->target_gene
YBR049C	YGR045C	transcription_factor->target_gene
YBR049C	YGR046W	transcription_factor->target_gene
YBR049C	YGR084C	transcription_factor->target_gene
YBR049C	YGR130C	transcription_factor->target_gene
YBR049C	YGR132C	transcription_factor->target_gene
YBR049C	YGR135W	transcription_factor->target_gene
YBR049C	YGR145W	transcription_factor->target_gene
YBR049C	YGR147C	transcription_factor->target_gene
YBR049C	YGR156W	transcription_factor->target_gene
YBR049C	YGR172C	transcription_factor->target_gene
YBR049C	YGR173W	transcription_factor->target_gene
YBR049C	YGR184C	transcription_factor->target_gene
YBR049C	YGR195W	transcription_factor->target_gene
YBR049C	YGR199W	transcription_factor->target_gene
YBR049C	YGR203W	transcription_factor->target_gene
YBR049C	YGR218W	transcription_factor->target_gene
YBR049C	YGR220C	transcription_factor->target_gene
YBR049C	YGR231C	transcription_factor->target_gene
YBR049C	YGR232W	transcription_factor->target_gene
YBR049C	YGR241C	transcription_factor->target_gene
YBR049C	YGR243W	transcription_factor->target_gene
YBR049C	YGR266W	transcription_factor->target_gene
YBR049C	YGR284C	transcription_factor->target_gene
YBR049C	YGR285C	transcription_factor->target_gene
YBR049C	YGR288W	transcription_factor->target_gene
YBR049C	YHL031C	transcription_factor->target_gene
YBR049C	YHR006W	transcription_factor->target_gene
YBR049C	YHR015W	transcription_factor->target_gene
YBR049C	YHR023W	transcription_factor->target_gene
YBR049C	YHR026W	transcription_factor->target_gene
YBR049C	YHR039C-A	transcription_factor->target_gene
YBR049C	YHR040W	transcription_factor->target_gene
YBR049C	YHR075C	transcription_factor->target_gene
YBR049C	YHR097C	transcription_factor->target_gene
YBR049C	YHR136C	transcription_factor->target_gene
YBR049C	YHR146W	transcription_factor->target_gene
YBR049C	YHR153C	transcription_factor->target_gene
YBR049C	YHR154W	transcription_factor->target_gene
YBR049C	YIL022W	transcription_factor->target_gene
YBR049C	YIL023C	transcription_factor->target_gene
YBR049C	YIL062C	transcription_factor->target_gene
YBR049C	YIL075C	transcription_factor->target_gene
YBR049C	YIL105C	transcription_factor->target_gene
YBR049C	YIL106W	transcription_factor->target_gene
YBR049C	YIL108W	transcription_factor->target_gene
YBR049C	YIL109C	transcription_factor->target_gene
YBR049C	YIL112W	transcription_factor->target_gene
YBR049C	YIL116W	transcription_factor->target_gene
YBR049C	YIL121W	transcription_factor->target_gene
YBR049C	YIL122W	transcription_factor->target_gene
YBR049C	YIL148W	transcription_factor->target_gene
YBR049C	YIL149C	transcription_factor->target_gene
YBR049C	YIL159W	transcription_factor->target_gene
YBR049C	YIL160C	transcription_factor->target_gene
YBR049C	YIR002C	transcription_factor->target_gene
YBR049C	YIR003W	transcription_factor->target_gene
YBR049C	YIR014W	transcription_factor->target_gene
YBR049C	YJL001W	transcription_factor->target_gene
YBR049C	YJL002C	transcription_factor->target_gene
YBR049C	YJL019W	transcription_factor->target_gene
YBR049C	YJL020C	transcription_factor->target_gene
YBR049C	YJL039C	transcription_factor->target_gene
YBR049C	YJL051W	transcription_factor->target_gene
YBR049C	YJL076W	transcription_factor->target_gene
YBR049C	YJL077C	transcription_factor->target_gene
YBR049C	YJL092W	transcription_factor->target_gene
YBR049C	YJL093C	transcription_factor->target_gene
YBR049C	YJL098W	transcription_factor->target_gene
YBR049C	YJL111W	transcription_factor->target_gene
YBR049C	YJL124C	transcription_factor->target_gene
YBR049C	YJL148W	transcription_factor->target_gene
YBR049C	YJL149W	transcription_factor->target_gene
YBR049C	YJL151C	transcription_factor->target_gene
YBR049C	YJL158C	transcription_factor->target_gene
YBR049C	YJL184W	transcription_factor->target_gene
YBR049C	YJR005W	transcription_factor->target_gene
YBR049C	YJR007W	transcription_factor->target_gene
YBR049C	YJR047C	transcription_factor->target_gene
YBR049C	YJR065C	transcription_factor->target_gene
YBR049C	YJR066W	transcription_factor->target_gene
YBR049C	YJR076C	transcription_factor->target_gene
YBR049C	YJR086W	transcription_factor->target_gene
YBR049C	YJR090C	transcription_factor->target_gene
YBR049C	YJR098C	transcription_factor->target_gene
YBR049C	YJR099W	transcription_factor->target_gene
YBR049C	YJR100C	transcription_factor->target_gene
YBR049C	YJR122W	transcription_factor->target_gene
YBR049C	YJR127C	transcription_factor->target_gene
YBR049C	YKL007W	transcription_factor->target_gene
YBR049C	YKL025C	transcription_factor->target_gene
YBR049C	YKL046C	transcription_factor->target_gene
YBR049C	YKL051W	transcription_factor->target_gene
YBR049C	YKL053C-A	transcription_factor->target_gene
YBR049C	YKL058W	transcription_factor->target_gene
YBR049C	YKL059C	transcription_factor->target_gene
YBR049C	YKL063C	transcription_factor->target_gene
YBR049C	YKL072W	transcription_factor->target_gene
YBR049C	YKL080W	transcription_factor->target_gene
YBR049C	YKL081W	transcription_factor->target_gene
YBR049C	YKL082C	transcription_factor->target_gene
YBR049C	YKL086W	transcription_factor->target_gene
YBR049C	YKL103C	transcription_factor->target_gene
YBR049C	YKL104C	transcription_factor->target_gene
YBR049C	YKL146W	transcription_factor->target_gene
YBR049C	YKL148C	transcription_factor->target_gene
YBR049C	YKL190W	transcription_factor->target_gene
YBR049C	YKL203C	transcription_factor->target_gene
YBR049C	YKR001C	transcription_factor->target_gene
YBR049C	YKR002W	transcription_factor->target_gene
YBR049C	YKR006C	transcription_factor->target_gene
YBR049C	YKR011C	transcription_factor->target_gene
YBR049C	YKR022C	transcription_factor->target_gene
YBR049C	YKR023W	transcription_factor->target_gene
YBR049C	YKR035W-A	transcription_factor->target_gene
YBR049C	YKR048C	transcription_factor->target_gene
YBR049C	YKR068C	transcription_factor->target_gene
YBR049C	YKR069W	transcription_factor->target_gene
YBR049C	YKR095W	transcription_factor->target_gene
YBR049C	YKR096W	transcription_factor->target_gene
YBR049C	YLL003W	transcription_factor->target_gene
YBR049C	YLL009C	transcription_factor->target_gene
YBR049C	YLL013C	transcription_factor->target_gene
YBR049C	YLL021W	transcription_factor->target_gene
YBR049C	YLL034C	transcription_factor->target_gene
YBR049C	YLL039C	transcription_factor->target_gene
YBR049C	YLL040C	transcription_factor->target_gene
YBR049C	YLR033W	transcription_factor->target_gene
YBR049C	YLR082C	transcription_factor->target_gene
YBR049C	YLR083C	transcription_factor->target_gene
YBR049C	YLR114C	transcription_factor->target_gene
YBR049C	YLR129W	transcription_factor->target_gene
YBR049C	YLR162W	transcription_factor->target_gene
YBR049C	YLR168C	transcription_factor->target_gene
YBR049C	YLR171W	transcription_factor->target_gene
YBR049C	YLR197W	transcription_factor->target_gene
YBR049C	YLR206W	transcription_factor->target_gene
YBR049C	YLR212C	transcription_factor->target_gene
YBR049C	YLR223C	transcription_factor->target_gene
YBR049C	YLR224W	transcription_factor->target_gene
YBR049C	YLR229C	transcription_factor->target_gene
YBR049C	YLR247C	transcription_factor->target_gene
YBR049C	YLR259C	transcription_factor->target_gene
YBR049C	YLR262C	transcription_factor->target_gene
YBR049C	YLR275W	transcription_factor->target_gene
YBR049C	YLR277C	transcription_factor->target_gene
YBR049C	YLR295C	transcription_factor->target_gene
YBR049C	YLR298C	transcription_factor->target_gene
YBR049C	YLR304C	transcription_factor->target_gene
YBR049C	YLR308W	transcription_factor->target_gene
YBR049C	YLR309C	transcription_factor->target_gene
YBR049C	YLR352W	transcription_factor->target_gene
YBR049C	YLR354C	transcription_factor->target_gene
YBR049C	YLR356W	transcription_factor->target_gene
YBR049C	YLR357W	transcription_factor->target_gene
YBR049C	YLR378C	transcription_factor->target_gene
YBR049C	YLR380W	transcription_factor->target_gene
YBR049C	YLR390W-A	transcription_factor->target_gene
YBR049C	YLR408C	transcription_factor->target_gene
YBR049C	YLR412W	transcription_factor->target_gene
YBR049C	YLR426W	transcription_factor->target_gene
YBR049C	YLR430W	transcription_factor->target_gene
YBR049C	YML001W	transcription_factor->target_gene
YBR049C	YML007W	transcription_factor->target_gene
YBR049C	YML008C	transcription_factor->target_gene
YBR049C	YML030W	transcription_factor->target_gene
YBR049C	YML043C	transcription_factor->target_gene
YBR049C	YML052W	transcription_factor->target_gene
YBR049C	YML053C	transcription_factor->target_gene
YBR049C	YML058W	transcription_factor->target_gene
YBR049C	YML082W	transcription_factor->target_gene
YBR049C	YML102W	transcription_factor->target_gene
YBR049C	YML109W	transcription_factor->target_gene
YBR049C	YML114C	transcription_factor->target_gene
YBR049C	YML119W	transcription_factor->target_gene
YBR049C	YML120C	transcription_factor->target_gene
YBR049C	YML124C	transcription_factor->target_gene
YBR049C	YML129C	transcription_factor->target_gene
YBR049C	YMR003W	transcription_factor->target_gene
YBR049C	YMR019W	transcription_factor->target_gene
YBR049C	YMR039C	transcription_factor->target_gene
YBR049C	YMR040W	transcription_factor->target_gene
YBR049C	YMR047C	transcription_factor->target_gene
YBR049C	YMR048W	transcription_factor->target_gene
YBR049C	YMR049C	transcription_factor->target_gene
YBR049C	YMR074C	transcription_factor->target_gene
YBR049C	YMR117C	transcription_factor->target_gene
YBR049C	YMR121C	transcription_factor->target_gene
YBR049C	YMR122W-A	transcription_factor->target_gene
YBR049C	YMR146C	transcription_factor->target_gene
YBR049C	YMR183C	transcription_factor->target_gene
YBR049C	YMR184W	transcription_factor->target_gene
YBR049C	YMR186W	transcription_factor->target_gene
YBR049C	YMR188C	transcription_factor->target_gene
YBR049C	YMR189W	transcription_factor->target_gene
YBR049C	YMR190C	transcription_factor->target_gene
YBR049C	YMR191W	transcription_factor->target_gene
YBR049C	YMR207C	transcription_factor->target_gene
YBR049C	YMR208W	transcription_factor->target_gene
YBR049C	YMR214W	transcription_factor->target_gene
YBR049C	YMR221C	transcription_factor->target_gene
YBR049C	YMR251W-A	transcription_factor->target_gene
YBR049C	YMR264W	transcription_factor->target_gene
YBR049C	YMR280C	transcription_factor->target_gene
YBR049C	YMR281W	transcription_factor->target_gene
YBR049C	YMR290C	transcription_factor->target_gene
YBR049C	YMR292W	transcription_factor->target_gene
YBR049C	YMR296C	transcription_factor->target_gene
YBR049C	YMR306W	transcription_factor->target_gene
YBR049C	YNL006W	transcription_factor->target_gene
YBR049C	YNL007C	transcription_factor->target_gene
YBR049C	YNL008C	transcription_factor->target_gene
YBR049C	YNL034W	transcription_factor->target_gene
YBR049C	YNL065W	transcription_factor->target_gene
YBR049C	YNL075W	transcription_factor->target_gene
YBR049C	YNL090W	transcription_factor->target_gene
YBR049C	YNL091W	transcription_factor->target_gene
YBR049C	YNL099C	transcription_factor->target_gene
YBR049C	YNL111C	transcription_factor->target_gene
YBR049C	YNL113W	transcription_factor->target_gene
YBR049C	YNL115C	transcription_factor->target_gene
YBR049C	YNL124W	transcription_factor->target_gene
YBR049C	YNL126W	transcription_factor->target_gene
YBR049C	YNL135C	transcription_factor->target_gene
YBR049C	YNL144C	transcription_factor->target_gene
YBR049C	YNL161W	transcription_factor->target_gene
YBR049C	YNL169C	transcription_factor->target_gene
YBR049C	YNL185C	transcription_factor->target_gene
YBR049C	YNL186W	transcription_factor->target_gene
YBR049C	YNL216W	transcription_factor->target_gene
YBR049C	YNL221C	transcription_factor->target_gene
YBR049C	YNL229C	transcription_factor->target_gene
YBR049C	YNL232W	transcription_factor->target_gene
